frame_index,hand_index,fingertip_id,x,y
54,1,20,796.6767942905426,140.38638770580292
55,0,4,482.9714521765709,172.90183901786804
55,0,8,426.0881546139717,84.30670201778412
55,0,12,360.9275570511818,80.05080372095108
55,0,16,339.5589515566826,106.60316050052643
55,0,20,321.35254576802254,154.2079895734787
55,1,4,676.2997913360596,161.01832687854767
55,1,8,717.4659770727158,111.59658432006836
55,1,12,728.4735244512558,120.91858685016632
55,1,16,753.256756067276,121.90075218677521
55,1,20,796.5629625320435,140.25507867336273
56,0,4,479.6463644504547,171.27248644828796
56,0,8,425.8539992570877,84.23873037099838
56,0,12,360.6683734059334,79.33254539966583
56,0,16,338.4934936463833,106.110118329525
56,0,20,320.613517165184,154.3603092432022
56,1,4,676.2870118021965,160.97380220890045
56,1,8,718.0570203065872,112.09172755479813
56,1,12,729.2077964544296,120.85466086864471
56,1,16,753.0945825576782,121.96425348520279
56,1,20,795.5643624067307,140.40936529636383
57,0,4,477.86457896232605,168.64393651485443
57,0,8,425.7744640111923,82.7854797244072
57,0,12,360.3445163369179,78.22208851575851
57,0,16,339.4637379050255,105.33472150564194
57,0,20,320.3352050483227,155.25475144386292
57,1,4,674.9414452910423,161.52982413768768
57,1,8,717.9008078575134,111.40789091587067
57,1,12,727.0878636837006,120.53527683019638
57,1,16,752.2577476501465,121.42562866210938
57,1,20,793.9293169975281,139.9354636669159
58,0,4,477.4154171347618,164.43967819213867
58,0,8,425.1567593216896,83.34621787071228
58,0,12,359.9740731716156,79.86223697662354
58,0,16,339.13526713848114,106.02512210607529
58,0,20,325.02939730882645,154.71073985099792
58,1,4,672.4791598320007,162.2898280620575
58,1,8,718.5833901166916,111.72941327095032
58,1,12,728.0565768480301,120.87123095989227
58,1,16,752.3625153303146,122.33133614063263
58,1,20,789.8026299476624,140.45797288417816
59,0,4,476.3634940981865,158.5056036710739
59,0,8,423.1141570210457,84.19401943683624
59,0,12,359.889720082283,82.48995989561081
59,0,16,339.6884413063526,106.77558928728104
59,0,20,327.29241594672203,154.05789017677307
59,1,4,673.4065538644791,163.94665837287903
59,1,8,718.8789117336273,112.20457404851913
59,1,12,730.9856623411179,121.55870348215103
59,1,16,755.0143706798553,122.91467934846878
59,1,20,789.1878241300583,139.32475447654724
60,0,4,476.9656428694725,152.97135710716248
60,0,8,421.022110581398,85.31641960144043
60,0,12,364.26685333251953,86.56776696443558
60,0,16,345.376538336277,107.97545313835144
60,0,20,335.64145281910896,153.15628051757812
60,1,4,673.6577758193016,164.38493132591248
60,1,8,717.9032576084137,113.35621774196625
60,1,12,729.5022565126419,121.81619554758072
60,1,16,755.4764753580093,123.07488173246384
60,1,20,789.1806381940842,140.5307799577713
61,0,4,484.0820875763893,150.48769116401672
61,0,8,433.9856207370758,88.30800652503967
61,0,12,386.8709498643875,85.30508726835251
61,0,16,362.98155069351196,103.51775586605072
61,0,20,341.5490271151066,148.92332255840302
61,1,4,674.8563981056213,164.5369678735733
61,1,8,717.2668123245239,113.17235976457596
61,1,12,728.4438824653625,123.29243868589401
61,1,16,754.065990447998,123.98406863212585
61,1,20,788.6284643411636,139.84599709510803
62,0,4,492.0818307995796,151.11781656742096
62,0,8,445.89908599853516,93.22020411491394
62,0,12,406.2771415710449,87.96104043722153
62,0,16,378.06850492954254,104.74789142608643
62,0,20,354.3514049053192,142.20353960990906
62,1,4,675.4782673716545,164.47317600250244
62,1,8,717.5388163328171,113.23514580726624
62,1,12,729.3428593873978,124.49853867292404
